
#(1)                 (6)   (9)  (11)   (12) (13)           (14)        
#Name/ASCII          Con   mag    HIP     HD  RA(J2000)    Dec(J2000) 
Absolutno            Lyn  11.95      _      _ 116.716506    39.094572 
Beemim               Eri   3.97  20535  28028  66.009239   -34.016848 
Beid                 Eri   4.04  19587  26574  62.966415    -6.837580 
Belel                Sgr   7.55  95124 181342 290.267627   -23.619570 
Belenos              Psc   7.12   6643   8574 021.302148    28.566695 
Bellatrix            Ori   1.64  25336  35468  81.282764     6.349703 
Berehynia            Per  11.72      _      _ 066.248062    39.460642 
Betelgeuse           Ori   0.45  27989  39801  88.792939     7.407064 
Bharani              Ari   3.61  13209  17573  42.495972    27.260507 
Bibha                Sex   8.73  48711  86081 149.024661    -3.808423 
Biham                Peg   3.52 109427 210418 332.549939     6.197863 
Bosona               Aqr   8.34 107251 206610 325.853751    -7.408253 
Botein               Ari   4.35  14838  19787  47.907356    19.726674 
Brachium             Lib   3.25  73714 133216 226.017567   -25.281961 
Bubup                Men   6.69  26380  38283  84.258403   -73.699346 
Buna                 And   7.28  12191  16175  39.257963    42.062630 
Bunda                Aqr   4.80 106786 205767 324.437956    -7.854202 
Canopus              Car  -0.62  30438  45348  95.987958   -52.695661 
Capella              Aur   0.08  24608  34029  79.172328    45.997991 
Caph                 Cas   2.28    746    432   2.294522    59.149781 
Castor               Gem   1.98  36850  60179 113.649428    31.888276 
Castula              Cas   4.62   4422   5395  14.166271    59.181055 
Cebalrai             Oph   2.76  86742 161096 265.868136     4.567300 
Ceibo                Cha   9.37  37284  63454 114.841057   -78.278974 
Celaeno              Tau   5.45  17489  23288  56.200893    24.289468 
Cervantes            Ara   5.15  86796 160691 266.036255   -51.834051 
Chalawan             UMa   5.03  53721  95128 164.866553    40.430256 
Chamukuy             Tau   3.73  20894  28319  67.165586    15.870882 
Chaophraya           Eri  11.55      _      _ 043.688059   -10.898063 
Chara                CVn   4.24  61317 109358 188.435603    41.357479 
Chason               Lyr  11.82      _      _ 274.405470    36.621436 
Chechia              Aql   6.44  99894 192699 304.025017     4.580795 
Chertan              Leo   3.33  54879  97633 168.560019    15.429571 
Citadelle            Psc   8.36   1547   1502   4.821110    14.054756 
Citala               Mon   6.29  33719  52265 105.075149    -5.367161 
Cocibolca            Scl   7.78   3479   4208  11.111045   -26.515683 
Copernicus           Cnc   5.95  43587  75732 133.149212    28.330820 
Cor Caroli           CVn   2.89  63125 112413 194.006943    38.318376 
Cujam                Her   4.57  80463 148112 246.353979    14.033274 
Cursa                Eri   2.78  23875  33111  76.962440    -5.086446 
Dabih                Cap   3.05 100345 193495 305.252803   -14.781405 
Dalim                For   3.86  14879  20010  48.018864   -28.987620 
Deneb                Cyg   1.25 102098 197345 310.357980    45.280339 
Deneb Algedi         Cap   2.85 107556 207098 326.760184   -16.127287 
Denebola             Leo   2.14  57632 102647 177.264910    14.572058 
Diadem               Com   4.85  64241 114378 197.497029    17.529447 
Dingolay             Leo   8.21  54158  96063 166.185228   -02.513218 
Diphda               Cet   2.04   3419   4128  10.897379   -17.986606 
Diwo                 Sco  11.38      _      _ 239.962287   -28.061753 
Diya                 For  10.84      _      _ 041.040041   -30.169045 
Dofida               Cen   7.17  66047 117618 203.106482   -47.271365 
Dombay               UMa  11.28      _      _ 206.094141    48.028668 
Dschubba             Sco   2.29  78401 143275 240.083359   -22.621710 
Dubhe                UMa   1.81  54061  95689 165.931965    61.751035 
Dziban               Dra   4.57  86614 162003 265.484814    72.148847 
Ebla                 Psc   8.59 114322 218566 347.294696    -2.260746 
Edasich              Dra   3.29  75458 137759 231.232396    58.966063 
Electra              Tau   3.72  17499  23302  56.218904    24.113336 
Elgafar              Vir   4.84  70755 126868 217.050575    -2.227957 
Elkurud              Col   5.00  29034  42167  91.881801   -37.252920 
Elnath               Tau   1.65  25428  35497  81.572971    28.607452 
Eltanin              Dra   2.24  87833 164058 269.151541    51.488896 
Emiw                 Tuc   8.06   5529   7199  17.696756   -66.188164 
Enif                 Peg   2.38 107315 206778 326.046484     9.875009 
Errai                Cep   3.21 116727 222404 354.836655    77.632313 
Fafnir               Dra   4.82  90344 170693 276.496406    65.563480 
Fang                 Sco   2.89  78265 143018 239.712972   -26.114108 
Fawaris              Cyg   2.90  97165 186882 296.243658    45.130810 
Felis                Hya   4.94  48615  85951 148.717528   -19.009336 
Felixvarela          Cet   9.62   2247      _   7.142942   -16.226345 
Flegetonte           Vir   8.07  57370 102195 176.426220     2.821479 
Fomalhaut            PsA   1.17 113368 216956 344.412693   -29.622237 
Formosa              Leo   6.45  56508 100655 173.765637    20.441545 
Franz                Her   9.86      _      _ 260.116160    38.242197 
Fulu                 Cas   3.69   2920   3360   9.242851    53.896908 
Fumalsamakah         Psc   4.48 113889 217891 345.969225     3.820045 
Funi                 Dra   8.75  61177 109246 188.029952    74.489547 
Furud                CMa   3.02  30122  44402  95.078300   -30.063367 
Fuyue                Sco   3.19  87261 161892 267.464503   -37.043305 
Gacrux               Cru   1.59  61084 108903 187.791498   -57.113213 
Gakyid               Cnc   8.23  42446  73534 129.815846    12.960375 
Geminga              Gem      _      _      _  98.475638    17.770253 
Giausar              Dra   3.82  56211 100029 172.850920    69.331075 
Gienah               Crv   2.58  59803 106625 183.951543   -17.541929 
Ginan                Cru   3.59  60260 107446 185.340039   -60.401147 
Gloas                Lyn  10.38      _      _ 140.102977    33.882417 
Gomeisa              CMi   2.89  36188  58715 111.787674     8.289316 
Grumium              Dra   3.73  87585 163588 268.382207    56.872646 
Gudja                Ser   4.09  77450 141477 237.184903    18.141564 
Gumala               Sgr   6.25  94645 179949 288.888459   -24.179354 
Guniibuu             Oph   5.07  84405 155886 258.837875   -26.598892 
Hadar                Cen   0.61  68702 122451 210.955856   -60.373035 
Haedus               Aur   3.18  23767  32630  76.628722    41.234476 
Hamal                Ari   2.01   9884  12929  31.793357    23.462418 
Hassaleh             Aur   2.69  23015  31398  74.248421    33.166100 
Hatysa               Ori   2.80  26241  37043  83.858258   -05.909901 
Helvetios            Peg   5.49 113357 217014 344.366583    20.768831 
Heze                 Vir   3.38  66249 118098 203.673300    -0.595820 
Hoggar               Tau   8.38  21109  28678  67.856059     4.575295 
Homam                Peg   3.41 112029 214923 340.365503    10.831363 
Horna                Tri  12.30      _      _ 035.383251    32.246136 
Hunahpu              Crt   8.05  55174  98219 169.448138   -23.975415 
Hunor                Her   8.72  80076 147506 245.151491    41.048086 
Iklil                Sco   3.87  78104 142669 239.221151   -29.214073 
Illyrian             LMi   7.62  47087  82886 143.938267    34.780742 
Imai                 Cru   2.75  59747 106490 183.786320   -58.748927 
Inquill              Ara   6.67  84787 156411 259.964168   -48.549320 
Intan                For   9.92  15578  20868  50.177891   -33.730104 
Intercrus            UMa   5.41  46471  81688 142.166618    45.601482 
Irena                Her   9.41      _      _ 243.959855    10.032579 
Itonda               Gru   7.47 108375 208487 329.332698   -37.763624 
Izar                 Boo   2.35  72105 129988 221.246763    27.074207 
Jabbah               Sco   4.50  79374 145502 242.998894   -19.460708 
Jishui               Gem   4.89  37265  61110 114.791387    34.584346 
Kaffaljidhma         Cet   3.56  12706  16970  40.825163     3.235816 
Kalausi              Vel   8.23  47202  83443 144.299282   -43.272204 
Kamuy                CrB   6.57  79219 145457 242.516310    26.742748 
Kang                 Vir   4.18  69427 124294 213.223939   -10.273704 
Karaka               Aps   8.71  76351 137388 233.916337   -80.204594 
Kaus Australis       Sgr   1.79  90185 169022 276.042993   -34.384616 
Kaus Borealis        Sgr   2.82  90496 169916 276.992668   -25.421701 
Kaus Media           Sgr   2.72  89931 168454 275.248508   -29.828104 
Kaveh                Ser   8.02  92895 175541 283.920350     4.265323 
Keid                 Eri   4.43  19849  26965  63.817999    -7.652872 
Khambalia            Vir   4.52  69974 125337 214.777468   -13.371096 
Kitalpha             Equ   3.92 104987 202447 318.955949     5.247865 
Kochab               UMi   2.07  72607 131873 222.676357    74.155504 
Koeia                Eri  10.25  12961      _ 041.678695   -23.086612 
Koit                 Lyn  10.78      _      _ 110.388168    58.268087 
Kornephoros          Her   2.78  80816 148856 247.554998    21.489611 
Kraz                 Crv   2.65  61359 109379 188.596810   -23.396759 
Kurhah               Cep   4.26 108917 209790 330.947724    64.627971 
La Superba           CVn   5.42  62223 110914 191.282615    45.440257 
Larawag              Sco   2.29  82396 151680 252.540878   -34.293232 
Lerna                Hya  12.00      _      _ 135.344371     6.097227 
Lesath               Sco   2.70  85696 158408 262.690979   -37.295813 
Libertas             Aql   4.71  97938 188310 298.562008     8.461453 
