HR,Name,DM,HD,SAO,FK5,RAh,RAm,RAs,DE-,DEd,DEm,DEs,Vmag,SpType,Parallax
4146,48    Leo,BD+07 2330,91612,118376,2846,10,34,48,+,6,57,13,5.08,G8.5IIIFe-1Ca-1,0.034
4147,,CP-57 3431,91619,238182,,10,33,25.3,-,58,11,25,6.14,B7Iae,
4148,49    Leo,BD+09 2374,91636,118380,,10,35,2.2,+,8,39,1,5.67,A2V,0.005
4149,,BD-22 2952,91706,178993,,10,34,57.7,-,23,10,34,6.1,F7V,
4150,35    LMi,BD+37 2100,91752,62147,,10,36,21.4,+,36,19,37,6.28,F3V,
4151,,CP-60 1983,91767,251014,,10,34,12.9,-,60,59,16,6.23,K2-3III,
4152,,BD-17 3187,91790,156087,,10,35,38.9,-,18,34,9,6.49,A7V,
4153,,CD-38 6579,91793,201533,,10,35,12.9,-,39,33,46,5.38,N0:,
4154,,CD-43 6395,91805,222170,,10,35,10.5,-,43,39,53,6.08,G8II-IIICNVp,
4155,,BD-09 3108,91858,156092,,10,36,17.4,-,10,35,0,6.57,F0V,
4156,Phi2Hya,BD-15 3087,91880,156093,,10,36,16.7,-,16,20,40,6.03,M1III,
4157,,CD-26 8022,91881,179014,,10,36,4.6,-,26,40,30,6.29,F5V,0.02
4158,,BD-11 2918,91889,156095,1274,10,36,32.4,-,12,13,49,5.7,F7V,0.048
4159,,CP-56 3544,91942,238222,,10,35,35.3,-,57,33,28,4.45,K3-4II,0.026
4160,,BD-10 3094,91992,156105,,10,37,11.6,-,11,44,55,6.52,F0V,
4161,,CP-81  449,92029,258581,,10,31,51,-,81,55,16,7.07,B5III-IV,
4162,,CD-26 8033,92036,179041,2848,10,37,13.7,-,27,24,45,4.89,M2III,0.01
4163,,BD-12 3218,92055,156110,,10,37,33.2,-,13,23,4,4.82,C5II,
4164,,CP-58 2371,92063,238242,,10,36,20.3,-,59,33,53,5.08,K1III,0.038
4165,,BD+54 1387,92095,27724,2849,10,39,5.7,+,53,40,6,5.52,K3III,
4166,37    LMi,BD+32 2061,92125,62173,1275,10,38,43.2,+,31,58,34,4.71,G2.5IIa,0.021
4167,,CD-47 6042,92139,222199,,10,37,18.1,-,48,13,33,3.84,F4IV+F3,0.04
4168,38    LMi,BD+38 2166,92168,62178,2852,10,39,7.6,+,37,54,36,5.85,F9V,0.038
