HR,Name,DM,HD,SAO,FK5,RAh,RAm,RAs,DE-,DEd,DEm,DEs,Vmag,SpType,Parallax
1,,BD+44 4550,3,36042,,0,5,9.9,+,45,13,45,6.7,A1Vn,
2,,BD-01 4525,6,128569,,0,5,3.8,-,0,30,11,6.29,gG9,
3,33    Psc,BD-06 6357,28,128572,1002,0,5,20.1,-,5,42,27,4.61,K0IIIbCN-0.5,0.014
4,86    Peg,BD+12 5063,87,91701,2004,0,5,42,+,13,23,46,5.51,G5III,
5,,BD+57 2865,123,21085,,0,6,16,+,58,26,12,5.96,G5V,0.047
6,,CD-4914337,142,214963,,0,6,19,-,49,4,30,5.7,G1IV,0.05
7,10    Cas,BD+63 2107,144,10978,2005,0,6,26.5,+,64,11,46,5.59,B9III,
8,,BD+28 4704,166,73743,,0,6,36.8,+,29,1,17,6.13,K0V,0.067
9,,CD-23    4,203,166053,1003,0,6,50.1,-,23,6,27,6.18,A7V,
10,,BD-18 6428,256,147090,,0,7,18.2,-,17,23,11,6.19,A6Vn,
11,,BD-03    2,315,128595,,0,7,44.1,-,2,32,56,6.43,B8IIIpSi,
12,,CD-23   13,319,166066,,0,7,46.8,-,22,30,32,5.94,A2Vp:,
13,,CD-34   17,344,192367,,0,8,3.5,-,33,31,46,5.68,K1III,
14,,BD-03    3,352,128602,2006,0,8,12.1,-,2,26,52,6.07,K2III+F,
15,21Alp And,BD+28    4,358,73765,1,0,8,23.3,+,29,5,26,2.06,B8IVpMnHg,0.032
16,,BD-09    5,360,128604,,0,8,17.4,-,8,49,26,5.99,gG8,
17,,BD+35    8,400,53677,,0,8,41,+,36,37,36,6.19,F8IV,0.044
18,,BD-18    3,402,147103,,0,8,33.4,-,17,34,39,6.06,M0III,
19,,BD+24    3,417,73769,,0,8,52.2,+,25,27,46,6.23,K0III,
20,,BD+78    1,431,4048,,0,9,20.2,+,79,42,53,6.01,A7IV,0.002
21,11Bet Cas,BD+58    3,432,21133,2,0,9,10.7,+,59,8,59,2.27,F2III-IV,0.072
22,87    Peg,BD+17    7,448,91734,,0,9,2.4,+,18,12,43,5.53,G9III,
23,,CP-54   19,469,231943,,0,9,2.4,-,54,0,7,6.33,G4IV,0.009
24,Kap1Scl,CD-28   16,493,166083,,0,9,21,-,27,59,16,5.42,F2V,0.023
25,Eps Phe,CD-46   18,496,214983,3,0,9,24.7,-,45,44,51,3.88,K0III,0.066
26,34    Psc,BD+10    8,560,91750,,0,10,2.3,+,11,8,44,5.51,B9Vn,0.017
27,22    And,BD+45   17,571,36123,4,0,10,19.3,+,46,4,20,5.03,F2II,-0.002
28,,BD+56   11,584,21162,,0,10,29.7,+,57,9,56,6.74,B7IV,
29,,BD-06   11,587,128621,,0,10,18.8,-,5,14,55,5.84,K1III,
30,Gam3Oct,CP-82    4,636,258215,3971,0,10,2.1,-,82,13,26,5.28,G8III,
31,,BD-13   13,645,147127,2008,0,10,42.8,-,12,34,48,5.85,K0IV,
32,,CP-73    4,661,255642,,0,10,38.6,-,73,13,28,6.64,F2V+F6V,
33,6    Cet,BD-16   17,693,147133,,0,11,15.9,-,15,28,5,4.89,F7V,0.067
34,Kap2Scl,CD-28   26,720,166103,5,0,11,34.4,-,27,47,59,5.41,K5III,
35,The Scl,CD-35   42,739,192388,6,0,11,44,-,35,7,59,5.25,F4V,0.034
36,,BD+47   21,743,36148,,0,11,59.1,+,48,9,9,6.16,gK4,
37,,BD-18   14,787,147144,,0,12,10,-,17,56,18,5.25,K5III,-0.015
38,,BD+36   12,829,53725,,0,12,50.4,+,37,41,36,6.73,B2V,
39,88Gam Peg,BD+14   14,886,91781,7,0,13,14.2,+,15,11,1,2.83,B2IV,-0.002
40,,BD+26   13,895,73823,,0,13,24,+,26,59,14,6.3,G0III,0.006
41,23    And,BD+40   29,905,36173,2010,0,13,30.8,+,41,2,7,5.72,F0IV,0.024
42,,CD-26   56,942,166130,,0,13,42.1,-,26,1,19,5.94,K5III,
43,,CD-26   57,943,166131,,0,13,44.2,-,26,17,5,6.31,K5III,
44,,BD+32   21,952,53744,2012,0,14,2.3,+,33,12,22,6.25,A1V,
45,89Chi Peg,BD+19   27,1013,91792,1004,0,14,36.2,+,20,12,24,4.8,M2+III,0.015
46,,BD-08   26,1014,128655,,0,14,27.6,-,7,46,50,5.12,M3+III,0.003
47,,CP-85    2,1032,258217,3972,0,13,19.4,-,84,59,39,5.77,M0-1III,
48,7    Cet,BD-19   21,1038,147169,,0,14,38.4,-,18,55,58,4.44,M3III,0.029
49,,BD+21   13,1048,73838,,0,14,56.1,+,22,17,3,6.24,A1pSi,
50,35    Psc,BD+08   19,1061,109087,,0,14,58.8,+,8,49,15,5.79,F0IV,0.017
51,,BD-10   30,1064,128660,,0,14,54.5,-,9,34,11,5.75,B9V,
52,,BD+30   26,1075,53755,,0,15,7,+,31,32,9,6.45,K5,
53,,BD+26   23,1083,73842,,0,15,10.6,+,27,16,59,6.35,A1Vn,
54,,CD-35   65,1089,192418,,0,14,58.2,-,34,54,16,6.17,K3III,
55,,BD+76    5,1141,4071,,0,16,14,+,76,57,3,6.35,B8Vnn,0.013
56,,BD+42   41,1185,36221,,0,16,21.6,+,43,35,41,6.15,A2VpSi,
57,,CD-32   72,1187,192430,2014,0,16,8.9,-,31,26,47,5.67,K5III,
58,,CP-76   19,1221,255650,,0,15,55.2,-,75,54,41,6.49,G8-K0III,
59,36    Psc,BD+07   27,1227,109100,2015,0,16,34.1,+,8,14,24,6.11,G8II-III,
60,,BD+60   21,1239,11084,,0,16,57.1,+,61,32,0,5.74,G8III,
61,,BD-21   24,1256,166167,,0,16,42.5,-,20,12,38,6.47,B8III,
62,,BD+47   50,1279,36236,2016,0,17,9.1,+,47,56,51,5.89,B7III,
63,24The And,BD+37   34,1280,53777,,0,17,5.5,+,38,40,54,4.61,A2V,0.022
64,,CP-79    7,1324,255652,,0,16,49,-,78,46,50,6.77,F3III,
65,,BD+50   46,1337,21273,,0,17,43,+,51,25,59,6.14,O9IIInn,
66,,BD-19   30,1343,147205,,0,17,32.6,-,19,3,4,6.45,F4IV-V,
67,,BD+00   28,1367,109119,2017,0,17,47.7,+,1,41,20,6.17,K0II,
68,25Sig And,BD+35   44,1404,53798,1005,0,18,19.7,+,36,47,7,4.52,A2V,0.023
69,,BD+10   25,1419,91832,,0,18,17.2,+,11,12,21,6.05,K0III,
70,26    And,BD+42   48,1438,36256,,0,18,42.1,+,43,47,28,6.11,B8V,
71,,BD+30   35,1439,53803,1006,0,18,38.3,+,31,31,2,5.87,A0IV,
72,,BD-08   38,1461,128690,,0,18,41.8,-,8,3,10,6.46,G0V,0.053
73,,CD-43   64,1483,215047,,0,18,42.6,-,43,14,7,6.33,K2III,
74,8Iot Cet,BD-09   48,1522,128694,9,0,19,25.7,-,8,49,26,3.56,K1.5III,0.013
75,,BD+39   56,1527,36269,,0,19,41.6,+,40,43,47,6.33,K1III,
76,,BD+48   79,1561,36272,,0,20,5.2,+,48,51,55,6.52,A0V s,
77,Zet Tuc,CP-65   13,1581,248163,10,0,20,4.3,-,64,52,29,4.23,F9V,0.134
78,,BD+30   42,1606,53820,,0,20,24.4,+,30,56,9,5.9,B7V,
79,,BD+32   45,1632,53825,,0,20,45.5,+,32,54,41,5.79,K5III,
80,41    Psc,BD+07   36,1635,109152,1008,0,20,35.9,+,8,11,25,5.37,gK3,
81,,BD+10   32,1663,91858,,0,20,54.5,+,10,58,37,6.56,A0V,0.005
82,27Rho And,BD+37   45,1671,53828,1009,0,21,7.3,+,37,58,7,5.18,F5III,0.017
83,Pi  Tuc,CP-70   12,1685,248167,2018,0,20,39,-,69,37,30,5.51,B9V,0.011
84,Iot Scl,CD-29   86,1737,166207,,0,21,31.2,-,28,58,54,5.18,G5III,0.027
85,,BD-20   50,1760,166210,,0,21,46.3,-,20,3,28,5.12,M5IIe,
86,42    Psc,BD+12   25,1796,91866,2020,0,22,25.5,+,13,28,57,6.23,K3III,
87,,CP-78    9,1801,255663,,0,21,28.6,-,77,25,37,5.97,K3III,
88,9    Cet,BD-13   60,1835,147237,,0,22,51.8,-,12,12,34,6.39,G2V,0.049
89,,CD-31  138,1909,192495,,0,23,12.6,-,31,2,10,6.55,B9IVMn,
90,,BD+37   58,1967,53860,,0,24,2,+,38,34,38,7.39,S6.5IIIeZr6Ti2,
91,,BD+51   62,1976,21366,,0,24,15.6,+,52,1,12,5.57,B5IV,0.004
92,NOVA 1572,,,,,,,,,,,,,,
93,12    Cas,BD+61   69,2011,11172,,0,24,47.5,+,61,49,52,5.4,B9III,0.015
94,,BD-03   49,2023,128743,2021,0,24,29.7,-,2,13,9,6.07,K1III,
95,47    Tuc,,,,,,,,,,,,,,
96,,BD+52   61,2054,21381,2022,0,25,6.4,+,53,2,49,5.74,B9IV,
97,44    Psc,BD+01   57,2114,109192,1010,0,25,24.2,+,1,56,23,5.77,G5III,
98,Bet Hyi,CP-77   16,2151,255670,11,0,25,45.1,-,77,15,15,2.8,G2IV,0.153
99,Alp Phe,CD-42  116,2261,215093,12,0,26,17,-,42,18,22,2.39,K0III,0.035
100,Kap Phe,CD-44  101,2262,215092,,0,26,12.2,-,43,40,48,3.94,A7V,0.072
101,10    Cet,BD-00   63,2273,128760,,0,26,37.4,-,0,2,59,6.19,G8III,
102,,CD-26  138,2363,166282,2025,0,27,14.7,-,25,32,50,5.98,G8III,
103,47    Psc,BD+17   55,2411,91910,,0,28,2.9,+,17,53,35,5.06,M3III,0.016
104,,BD+43   92,2421,36390,2027,0,28,13.7,+,44,23,40,5.17,A2V s,0.013
105,Eta Scl,CD-33  152,2429,192545,2026,0,27,55.7,-,33,0,26,4.81,M4III,-0.014
106,48    Psc,BD+15   63,2436,91912,1012,0,28,12.7,+,16,26,42,6.06,K5III,
107,,BD+09   47,2454,109224,2028,0,28,20.1,+,10,11,23,6.04,F6Va vw,0.033
108,,BD-21   57,2475,166296,2029,0,28,21.1,-,20,20,6,6.43,G0V,0.034
109,,CD-40   93,2490,215103,,0,28,26.4,-,39,54,54,5.43,M0III,0.015
110,,BD+36   66,2507,53928,,0,28,56.6,+,36,54,0,6.26,G5III,
111,,CD-51  113,2529,232055,,0,28,43.1,-,50,31,58,6.26,K0III,
112,,BD+76   10,2589,4130,2031,0,30,55,+,77,1,10,6.21,K0IV,0.023
113,,BD+59   68,2626,21457,,0,30,19.9,+,59,58,38,5.94,B9IIIn,0.002
114,28    And,BD+28   75,2628,74041,,0,30,7.3,+,29,45,6,5.23,A7III,0.001
115,,BD-15   84,2630,147307,2030,0,29,51.9,-,14,51,51,6.14,F2III,
116,,CD-32  154,2632,192567,,0,29,48.9,-,32,7,0,6.57,K4III,
117,12    Cet,BD-04   54,2637,128791,13,0,30,2.4,-,3,57,26,5.72,M0III,
118,,CD-24  179,2696,166318,14,0,30,22.7,-,23,47,16,5.19,A5Vn,0.018
119,,CD-41  116,2724,215120,,0,30,27.8,-,40,56,22,6.19,F2III,
120,,CD-48  102,2726,215119,,0,30,26.1,-,48,12,54,5.69,F2V,
121,13    Cas,BD+65   67,2729,11243,,0,31,25.3,+,66,31,10,6.18,B6V,
122,,BD+32   80,2767,53956,,0,31,25.6,+,33,34,54,5.87,K1III,
123,14Lam Cas,BD+53   82,2772,21489,,0,31,46.4,+,54,31,20,4.73,B8Vn,0.03
124,,BD+52   92,2774,21486,,0,31,41.2,+,52,50,22,5.6,K2III,0.008
125,Lam1Phe,CD-49  115,2834,215131,15,0,31,25,-,48,48,13,4.77,A0V,0.027
126,Bet1Tuc,CP-63   50,2884,248201,,0,31,32.7,-,62,57,29,4.37,B9V,0.03
127,Bet2Tuc,CP-63   50,2885,248202,,0,31,33.6,-,62,57,57,4.54,A2V+A7V,0.03
128,,BD+42   99,2888,36453,,0,32,26.8,+,43,29,41,6.7,A1Vn,
129,,BD+70   24,2904,4142,2034,0,33,19.3,+,70,58,54,6.42,A0Vn,
130,15Kap Cas,BD+62  102,2905,11256,16,0,33,0,+,62,55,54,4.16,B1Ia,
131,52    Psc,BD+19   79,2910,74084,2033,0,32,35.5,+,20,17,40,5.38,K0III,0.032
132,51    Psc,BD+06   64,2913,109262,2032,0,32,23.8,+,6,57,20,5.67,B9.5V,
133,,BD+26   76,2924,74083,,0,32,34.5,+,27,34,50,6.67,A2IV,
134,,BD+27   84,2942,74090,,0,32,49.1,+,28,16,49,6.3,K0III,0.006
135,,BD+54  101,2952,21512,,0,33,10.4,+,54,53,42,5.93,K0III,
136,Bet3Tuc,CP-63   52,3003,248208,,0,32,43.8,-,63,1,52,5.09,A0V,0.049
137,16    Cas,BD+65   70,3038,11265,,0,34,24.9,+,66,45,1,6.48,B9III,
138,,CD-30  156,3059,166367,1013,0,33,41.1,-,29,33,30,5.55,K2III,
139,The Tuc,CP-71   20,3112,255679,2035,0,33,23.3,-,71,15,58,6.13,A7IV,
140,,CP-53  117,3158,232091,1014,0,34,27.8,-,52,22,23,5.57,F3IV-V,0.038
141,,BD+12   57,3166,91980,,0,34,55.3,+,13,22,16,6.4,K0,
142,13    Cet,BD-04   62,3196,128839,,0,35,14.9,-,3,35,34,5.2,F8V,0.06
143,14    Cet,BD-01   68,3229,128843,2036,0,35,32.8,-,0,30,20,5.93,F5IV,
144,,BD+53  102,3240,21551,,0,36,8.3,+,54,10,7,5.08,B7III,
145,,BD+12   59,3268,91990,,0,35,54.7,+,13,12,24,6.41,F7V,0.02
146,,BD+59   84,3283,11291,,0,36,27.3,+,60,19,34,5.79,A4III,
147,Lam2Phe,CD-48  121,3302,215157,,0,35,41.1,-,48,0,3,5.51,F6V,
148,,CP-55  117,3303,232099,,0,35,33.4,-,54,49,19,6.06,K0IV,
149,,BD+26   91,3322,74136,,0,36,20,+,27,15,17,6.5,B8IIIpHgMn:,
150,,BD-15  109,3325,147360,,0,36,3,-,14,58,25,6.45,G9III,
151,,CD-23  220,3326,166400,2037,0,36,6.9,-,22,50,33,6.06,A6pSr,
152,,BD+43  113,3346,36509,,0,36,46.6,+,44,29,19,5.13,K5-M0III,0.007
153,17Zet Cas,BD+53  105,3360,21566,17,0,36,58.3,+,53,53,49,3.66,B2IV,0.004
154,29Pi  And,BD+32  101,3369,54033,18,0,36,52.9,+,33,43,10,4.36,B5V,-0.003
155,53    Psc,BD+14   76,3379,91995,2039,0,36,47.3,+,15,13,54,5.89,B2.5IV,
156,,BD+23   84,3411,74148,,0,37,7.2,+,24,0,51,6.47,K2III,
157,,BD+34   86,3421,54038,,0,37,21.1,+,35,23,58,5.48,G2.5IIa,
158,,BD+81   13,3440,106,3941,0,39,47.3,+,82,29,38,6.4,dF6,0.028
159,,CD-25  225,3443,166418,,0,37,20.7,-,24,46,2,5.57,G8V,0.076
160,,CP-65   58,3444,248225,,0,36,37.4,-,65,7,29,6.42,K2-3III,
161,,BD+02   80,3457,109315,2040,0,37,30.5,+,3,8,7,6.39,K4III,
162,,CP-55  130,3488,232114,,0,37,18.1,-,54,23,39,6.41,K0II-IIICNIV,
163,30Eps And,BD+28  103,3546,74164,19,0,38,33.3,+,29,18,42,4.37,G6IIIFe-3CH1,0.031
164,,BD+48  192,3574,36550,,0,39,9.9,+,49,21,16,5.43,K7III,
165,31Del And,BD+30   91,3627,54058,20,0,39,19.7,+,30,51,39,3.27,K3III,0.028
166,54    Psc,BD+20   85,3651,74175,,0,39,21.8,+,21,15,2,5.87,K0+V,0.099
167,55    Psc,BD+20   87,3690,74182,,0,39,55.6,+,21,26,18,5.36,K0III+F3V,0.009
168,18Alp Cas,BD+55  139,3712,21609,21,0,40,30.5,+,56,32,14,2.23,K0IIIa,0.016
169,,CP-73   42,3719,255690,,0,38,40.8,-,73,8,14,6.85,A1m,
170,,CD-34  224,3735,192663,,0,39,57.9,-,33,57,42,6.69,F8V,0.02
171,,CD-45  201,3750,215185,,0,39,52,-,44,47,48,6.01,K1IIICNII,
172,,BD-17  109,3794,147395,,0,40,28.6,-,16,31,1,6.49,G5,
173,,CD-24  263,3795,166475,,0,40,32.9,-,23,48,16,6.14,G3V,0.043
174,,BD-05  101,3807,128891,2042,0,40,42.4,-,4,21,7,5.91,K0III,
175,32    And,BD+38   90,3817,54079,2043,0,41,7.2,+,39,27,31,5.33,G8III,0.01
176,,CP-60   46,3823,232143,,0,40,26.4,-,59,27,16,5.89,G1V,0.058
177,,BD+65   83,3856,11336,2045,0,42,3.4,+,66,8,51,5.83,G9III-IV,
178,,BD+23   94,3883,74200,2044,0,41,36,+,24,37,45,6.04,A7m,
179,19Xi  Cas,BD+49  164,3901,21637,2046,0,42,3.9,+,50,30,45,4.8,B2V,
180,Mu  Phe,CD-46  180,3919,215194,1015,0,41,19.6,-,46,5,6,4.59,G8III,0.004
181,,BD+57  132,3924,21642,,0,42,31.1,+,58,45,12,6.17,B9.5III,
182,M 31  And,,,,,,,,,,,,,,
183,Xi  Phe,CP-57  143,3980,232152,,0,41,46.4,-,56,30,6,5.7,ApSrEuCr,
184,20Pi  Cas,BD+46  146,4058,36602,,0,43,28.1,+,47,1,29,4.94,A5V,0.023
185,Lam1Scl,CD-39  175,4065,192690,,0,42,42.9,-,38,27,48,6.06,A0V,
186,,CP-60   48,4088,248238,,0,42,41.8,-,60,15,45,5.98,K5III,
187,Rho Tuc,CP-66   47,4089,248237,2047,0,42,28.4,-,65,28,5,5.39,F6V,0.038
188,16Bet Cet,BD-18  115,4128,147420,22,0,43,35.4,-,17,59,12,2.04,G9.5IIICH-1,0.061
189,,BD+47  181,4142,36617,,0,44,26.4,+,47,51,51,5.67,B5V,
190,,BD-12  126,4145,147422,,0,43,50.2,-,12,0,42,6.02,K2III-IV,
191,Eta Phe,CP-58   42,4150,232162,23,0,43,21.2,-,57,27,47,4.36,A0IV,0.046
192,21    Cas,BD+74   27,4161,4216,24,0,45,39,+,74,59,17,5.66,A2IV,
193,22Omi Cas,BD+47  183,4180,36620,25,0,44,43.5,+,48,17,4,4.54,B5IIIe,
194,17Phi1Cet,BD-11  128,4188,147423,2048,0,44,11.4,-,10,36,34,4.76,K0III,0.022
195,Lam2Scl,CD-39  181,4211,192703,26,0,44,12.1,-,38,25,18,5.9,K1III,0.01
196,,BD+54  143,4222,21677,,0,45,17.2,+,55,13,18,5.42,A2V s,0.012
197,,BD-22  127,4247,166528,,0,44,44.4,-,22,0,22,5.24,F1III-IV,0.048
198,,CD-43  207,4293,215221,1017,0,44,57.1,-,42,40,36,5.94,F0V,
199,,CP-63   72,4294,248243,,0,44,32.3,-,62,29,52,6.07,F5III-IV,
200,,BD+68   49,4295,11380,,0,46,39,+,69,19,30,6.33,F3V,
201,,BD-05  120,4301,128935,,0,45,24.1,-,4,37,45,6.15,M0III,
202,,CP-54  166,4304,232168,2049,0,45,0,-,53,42,54,6.15,F7III,
203,18    Cet,BD-13  128,4307,147432,,0,45,28.7,-,12,52,51,6.15,G0V,
204,,BD+54  148,4321,21689,,0,46,15.1,+,55,18,19,6.52,A2III,
205,,BD+44  160,4335,36640,,0,46,10.9,+,44,51,41,6.05,B9.5IIIpHgMnCr,
206,,BD-17  132,4338,147436,,0,45,41.7,-,16,25,27,6.47,F1IVn,
207,,BD+58  101,4362,21693,,0,46,42.4,+,59,34,28,6.39,G0Ib,
208,23    Cas,BD+74   29,4382,4226,,0,47,46.1,+,74,50,51,5.41,B8III,
209,,CD-48  176,4391,215232,,0,45,45.6,-,47,33,6,5.8,G1V,0.049
210,,CD-23  293,4398,166555,,0,46,11.8,-,22,31,19,5.5,G3V,0.021
211,57    Psc,BD+14  111,4408,92072,,0,46,33,+,15,28,32,5.38,M4IIIa,0.015
212,,BD+71   37,4440,4229,,0,48,9.1,+,72,40,30,5.87,K0IV,
213,58    Psc,BD+11   96,4482,92080,2050,0,47,1.5,+,11,58,26,5.5,G8II,
214,59    Psc,BD+18  101,4490,92082,2051,0,47,13.6,+,19,34,44,6.13,F0Vn,
215,34Zet And,BD+23  106,4502,74267,27,0,47,20.3,+,24,16,2,4.06,K1IIe,0.037
216,60    Psc,BD+05  104,4526,109461,,0,47,23.6,+,6,44,27,5.99,G8III,
217,61    Psc,BD+20  105,4568,74280,,0,47,54.8,+,20,55,31,6.54,F8V,0.022
218,,BD-18  127,4585,147451,,0,47,43.3,-,18,3,41,5.7,K3III,
219,24Eta Cas,BD+57  150,4614,21732,,0,49,6,+,57,48,57,3.44,F9V+dM0,0.176
220,,BD-22  134,4622,166585,1018,0,48,1.1,-,21,43,21,5.57,B9V,
221,62    Psc,BD+06  105,4627,109470,,0,48,17.4,+,7,18,0,5.93,G8III,
222,,BD+04  123,4628,109471,1019,0,48,23,+,5,16,50,5.75,K2V,0.145
223,25Nu  Cas,BD+50  147,4636,21729,,0,48,50.1,+,50,58,6,4.89,B9III,
224,63Del Psc,BD+06  107,4656,109474,28,0,48,41,+,7,35,6,4.43,K4IIIb,0.019
225,64    Psc,BD+16   76,4676,92099,1020,0,48,58.7,+,16,56,26,5.07,F8V,0.047
226,35Nu  And,BD+40  171,4727,36699,1021,0,49,48.8,+,41,4,44,4.53,B5V+F8V,
227,,BD-14  145,4730,147464,2054,0,49,25.6,-,13,33,41,5.59,K5III,
228,,CD-24  345,4732,166602,,0,49,13.9,-,24,8,11,5.9,K2III,
229,,CD-47  229,4737,215245,2053,0,48,56.7,-,46,41,52,6.27,G8III,
230,65    Psc,BD+26  131,4757,74295,,0,49,52.8,+,27,42,39,7,F4III,0.011
231,65    Psc,BD+26  131,4758,74296,,0,49,53.2,+,27,42,37,7.1,F5III,0.011
232,,CD-24  347,4772,166608,,0,49,33.4,-,23,21,42,6.28,A3V,
233,,BD+63   99,4775,11424,29,0,50,43.6,+,64,14,51,5.39,G0III-IV+B9.5V,
234,,BD+44  176,4778,36702,2055,0,50,18.3,+,45,0,8,6.15,A0pCr,
235,19Phi2Cet,BD-11  153,4813,147470,30,0,50,7.6,-,10,38,40,5.19,F7IV-V,0.065
236,Lam Hyi,CP-75   64,4815,255710,31,0,48,35.4,-,74,55,24,5.07,K5III,0.025
237,,BD+61  178,4817,11430,,0,51,16.4,+,61,48,21,6.07,K2Ib-IICN-2,
238,,BD+50  161,4818,21767,,0,50,57.4,+,51,30,29,6.39,F2IV,
239,,CD-44  216,4849,215254,,0,50,3.7,-,43,23,41,6.48,A9-F0III,
240,,BD+82   20,4853,143,3942,0,54,53.1,+,83,42,26,5.62,A4V,
241,,BD+50  164,4881,21775,,0,51,33.7,+,51,34,16,6.21,B9.5V,
242,Rho Phe,CD-51  209,4919,232203,2056,0,50,41.2,-,50,59,13,5.22,F2III,0.005
243,,BD+02  118,4928,109507,,0,51,18.3,+,3,23,6,6.37,K0III,
244,,BD+60  124,5015,11444,,0,53,4.1,+,61,7,27,4.82,F8V,0.066
245,,CD-44  226,5042,215270,,0,51,52.1,-,43,42,33,6.9,F2V+F5V,0.007
246,,BD+37  159,5066,54225,,0,52,53.4,+,38,32,55,6.69,A2V,
247,,CD-24  376,5098,166647,,0,52,40.6,-,24,0,21,5.46,K2III,0.007
248,20    Cet,BD-01  114,5112,129009,1022,0,53,0.5,-,1,8,39,4.77,M0III,-0.003
249,,BD+36  148,5118,54237,,0,53,28.2,+,37,25,5,6.06,gK3,
250,,BD+51  179,5128,21814,,0,53,47.6,+,52,41,21,6.27,A5m,0.013
251,,CD-25  338,5156,166651,,0,53,12.4,-,24,46,37,6.46,F6IV-V,0.006
252,Lam1Tuc,CP-70   37,5190,248269,,0,52,24.3,-,69,30,16,6.22,F7IV-V,
253,26Ups1Cas,BD+58  134,5234,21832,,0,55,0.1,+,58,58,22,4.83,K2III,0.006
254,66    Psc,BD+18  122,5267,92145,,0,54,35.2,+,19,11,18,5.74,A1VN,0.014
255,21    Cet,BD-09  181,5268,129019,,0,54,17.6,-,8,44,27,6.16,G5IV,
256,,BD+47  242,5273,36763,,0,55,5.2,+,48,40,43,6.27,M2.5IIIa,
257,,CP-63   83,5276,248276,2057,0,53,37.9,-,62,52,17,5.7,M4III,
258,36    And,BD+22  146,5286,74359,,0,54,58,+,23,37,42,5.47,K1IV,0.022
259,,BD+23  126,5316,74365,,0,55,14.7,+,24,33,25,6.2,M4IIIab,
260,,BD+57  172,5343,21846,,0,56,12.9,+,57,59,48,6.21,K3III,
261,,BD+67   81,5357,11481,,0,56,55.6,+,68,46,34,6.37,F4III,
262,67    Psc,BD+26  151,5382,74373,2059,0,55,58.5,+,27,12,34,6.09,A5IV,
263,,BD-08  167,5384,129032,2058,0,55,42.4,-,7,20,50,5.85,K5III,
264,27Gam Cas,BD+59  144,5394,11482,32,0,56,42.5,+,60,43,0,2.47,B0IVe,0.016
265,28Ups2Cas,BD+58  138,5395,21855,,0,56,39.8,+,59,10,52,4.63,G8IIIbFe-0.5,0.051
266,,BD+59  146,5408,11484,,0,56,47.1,+,60,21,46,5.55,B9IVn,0.007
267,22Phi3Cet,BD-12  162,5437,147519,,0,56,1.5,-,11,16,0,5.31,K4III,0.009
268,,CD-28  288,5445,166686,,0,55,55.5,-,27,46,32,6.1,M0III,
269,37Mu  And,BD+37  175,5448,54281,33,0,56,45.2,+,38,29,58,3.87,A5V,0.039
270,Lam2Tuc,CP-70   40,5457,248281,34,0,55,0.3,-,69,31,37,5.45,K2III,0.035
271,38Eta And,BD+22  153,5516,74388,2060,0,57,12.4,+,23,25,3,4.42,G8IIIb,0.009
272,,BD+45  237,5526,36795,,0,57,39.7,+,45,50,23,6.12,K2III,
273,,BD+65  115,5550,11502,,0,58,31.1,+,66,21,8,5.97,A0III,
274,68    Psc,BD+28  157,5575,74395,1023,0,57,50.2,+,28,59,32,5.42,gG6,
275,,BD+33  140,5608,54306,2061,0,58,14.2,+,33,57,3,5.98,K0,
276,,BD+12  119,5612,92183,,0,57,54.5,+,13,41,45,6.32,G8III,
277,,BD+20  131,5641,74402,,0,58,18.9,+,21,24,16,6.37,A2V,0.009
278,,BD+70   65,5715,4288,2063,1,0,31,+,70,58,59,6.39,A4IV,
279,23Phi4Cet,BD-12  173,5722,147546,,0,58,43.9,-,11,22,48,5.61,G7III,
280,Alp Scl,CD-30  297,5737,166716,35,0,58,36.4,-,29,21,27,4.31,B7IIIp,
281,,CP-61   50,5771,248293,,0,58,22.4,-,60,41,47,6.23,Am,
282,,BD+43  193,5788,36832,,1,0,3.4,+,44,42,40,6.84,A2Vn,0.005
283,,BD+43  193,5789,36833,,1,0,3.6,+,44,42,48,6.04,B9.5Vn,0.005
284,,BD+05  131,5820,109581,,0,59,49.7,+,6,28,59,6.11,M2III,0.001
285,,BD+85   19,5848,181,906,1,8,44.7,+,86,15,25,4.25,K2II-III,
286,,BD+88    4,5914,209,,1,33,50.4,+,89,0,56,6.46,A3V,
287,,BD+50  202,6028,21938,,1,2,18.4,+,51,2,6,6.47,A3V,
288,Xi  Scl,CD-39  260,6055,192870,2064,1,1,18.3,-,38,55,0,5.59,K0III,0.034
289,,BD+46  243,6114,36875,,1,3,1.5,+,47,22,34,6.45,A9IV,0.012
290,39    And,BD+40  209,6116,36874,,1,2,54.3,+,41,20,42,5.98,A5m,
291,69Sig Psc,BD+31  168,6118,54374,,1,2,49.1,+,31,48,16,5.5,B9.5V,
292,,BD+60  157,6130,11551,,1,3,37,+,61,4,30,5.92,F0II,
293,Sig Scl,CD-32  410,6178,192884,1026,1,2,26.4,-,31,33,7,5.5,A2V,
294,71Eps Psc,BD+07  153,6186,109627,36,1,2,56.6,+,7,53,24,4.28,K0III,0.027
295,Ome Phe,CP-57  220,6192,232268,1027,1,2,1.8,-,57,0,9,6.11,G8III,
296,25    Cet,BD-05  177,6203,129094,,1,3,2.6,-,4,50,12,5.43,K0III-IV,
297,,BD+60  158,6210,11557,,1,4,19.6,+,61,34,49,5.84,F6V,
298,,BD+51  220,6211,21967,2066,1,4,2.4,+,52,30,8,5.99,K2,
